time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GyroX2,GyroY2,GyroZ2,AccX2,AccY2,AccZ2
5719,5.21,-4.47,0.28,0.16,-1.01,0.03,5.59,-5.53,-0.53,-0.00,-1.00,-0.04
5727,7.18,-4.09,-0.13,0.15,-0.99,0.05,8.16,-5.44,-0.66,-0.01,-0.99,-0.03
5736,9.37,-3.60,-0.53,0.14,-0.98,0.03,9.26,-4.86,-0.95,-0.01,-0.99,-0.03
5744,10.58,-2.76,-0.53,0.15,-0.96,0.03,10.66,-4.06,-1.40,-0.01,-0.98,-0.02
5753,9.74,-1.58,-0.72,0.13,-0.94,0.05,8.74,-2.62,-1.44,-0.00,-0.95,0.02
5763,10.30,-0.08,-0.83,0.16,-0.96,0.08,17.73,-2.69,-1.90,-0.01,-0.99,-0.03
5771,26.72,0.96,-1.44,0.17,-1.03,0.10,35.57,-4.18,-2.84,0.01,-1.00,-0.04
5780,42.46,1.67,-2.81,0.17,-1.04,0.09,47.95,-5.73,-3.73,0.02,-1.03,-0.05
5788,53.17,1.49,-3.31,0.16,-1.06,0.08,58.39,-6.51,-4.10,-0.00,-1.05,-0.05
5797,63.87,2.00,-3.79,0.15,-1.04,0.07,70.26,-7.92,-4.70,0.00,-1.02,-0.06
5807,77.29,2.63,-4.61,0.16,-1.03,0.07,84.67,-8.69,-6.06,-0.00,-0.97,-0.04
5815,91.16,4.15,-4.92,0.15,-0.98,0.09,98.38,-8.94,-5.73,-0.00,-1.02,-0.02
5824,106.84,5.64,-3.89,0.15,-1.00,0.08,115.36,-8.79,-4.10,0.00,-1.04,-0.02
5833,123.40,7.93,-2.48,0.14,-1.03,0.11,131.35,-8.27,-3.69,-0.01,-1.03,0.04
5841,138.11,10.33,-2.52,0.14,-1.07,0.13,145.08,-7.56,-3.60,-0.03,-1.05,0.09
5851,149.36,13.10,-1.65,0.14,-1.04,0.16,153.89,-6.63,-2.56,-0.00,-1.07,0.14
5860,155.61,14.87,0.49,0.18,-1.04,0.20,160.70,-6.23,-1.06,0.03,-1.09,0.14
5869,165.04,15.55,1.43,0.22,-1.07,0.24,172.64,-6.34,0.58,0.06,-1.08,0.13
5877,176.31,16.79,3.40,0.20,-1.06,0.27,183.45,-5.74,1.87,0.02,-1.08,0.16
5886,185.41,17.24,4.48,0.16,-1.06,0.28,190.93,-6.78,2.81,0.00,-1.05,0.17
5896,193.18,17.02,5.49,0.14,-1.04,0.26,198.50,-8.03,4.58,-0.02,-1.04,0.14
5904,199.11,16.05,7.42,0.12,-1.01,0.26,201.22,-9.86,5.62,-0.03,-0.98,0.14
5913,196.81,15.14,7.40,0.12,-0.96,0.25,193.56,-10.50,5.27,-0.00,-0.89,0.19
5922,184.22,13.00,6.42,0.14,-0.88,0.26,176.66,-9.77,4.25,0.01,-0.83,0.22
5932,164.57,11.14,5.31,0.15,-0.84,0.28,153.23,-8.85,3.70,0.03,-0.84,0.27
5940,138.56,9.21,5.12,0.15,-0.83,0.28,127.53,-6.56,3.64,0.02,-0.88,0.32
5949,114.78,8.04,5.00,0.14,-0.89,0.36,106.77,-4.78,3.62,-0.01,-0.90,0.38
5958,99.21,7.19,5.50,0.13,-0.91,0.47,94.74,-4.41,4.37,-0.02,-0.93,0.46
5967,90.99,6.49,6.04,0.12,-0.96,0.55,88.95,-4.36,5.09,-0.02,-0.93,0.54
5976,85.69,6.53,7.12,0.12,-0.93,0.61,84.62,-3.47,7.44,-0.00,-0.94,0.56
5985,84.79,6.72,10.43,0.13,-0.90,0.64,88.50,-3.18,10.82,0.00,-0.94,0.53
5993,91.27,6.82,13.78,0.13,-0.87,0.65,96.86,-3.71,13.07,0.01,-0.89,0.51
6002,99.53,7.43,14.89,0.13,-0.91,0.64,106.06,-5.05,13.26,-0.01,-0.82,0.50
6011,107.85,6.93,14.34,0.11,-0.85,0.68,111.06,-7.08,11.90,-0.01,-0.75,0.50
6021,109.95,6.15,12.53,0.12,-0.80,0.68,109.22,-6.47,10.15,0.01,-0.70,0.52
6029,106.11,6.78,10.68,0.14,-0.80,0.62,106.34,-5.45,8.62,0.01,-0.75,0.54
6038,104.59,7.99,10.11,0.12,-0.82,0.61,106.75,-3.18,8.02,0.00,-0.79,0.54
6047,107.38,10.55,9.31,0.13,-0.89,0.59,110.51,-0.95,7.91,-0.01,-0.80,0.58
6056,109.56,13.82,9.90,0.12,-0.85,0.63,112.44,1.47,8.05,0.00,-0.79,0.59
6065,110.47,14.47,10.71,0.11,-0.79,0.71,113.12,1.11,9.05,0.00,-0.76,0.58
6074,111.37,13.25,11.41,0.11,-0.77,0.74,111.50,0.50,9.77,0.01,-0.72,0.61
6083,107.99,12.50,11.97,0.11,-0.77,0.77,110.37,-0.95,10.29,-0.02,-0.73,0.62
6092,108.69,10.76,12.25,0.12,-0.78,0.79,111.54,-1.67,10.77,-0.01,-0.73,0.67
6102,110.50,10.66,12.17,0.12,-0.79,0.77,113.93,-2.42,10.52,-0.01,-0.68,0.67
6110,117.78,10.40,11.77,0.11,-0.77,0.85,125.63,-4.11,9.20,-0.01,-0.66,0.63
6119,131.33,10.26,10.30,0.11,-0.76,0.85,138.12,-6.25,8.31,-0.01,-0.61,0.61
6128,140.47,10.48,9.92,0.08,-0.68,0.78,143.00,-6.53,8.12,-0.04,-0.60,0.61
6137,139.95,10.26,10.01,0.05,-0.66,0.74,137.36,-4.97,8.71,-0.04,-0.60,0.68
6147,131.73,10.67,10.81,0.06,-0.63,0.76,129.89,-3.54,9.49,-0.03,-0.61,0.69
6155,125.15,10.56,11.47,0.07,-0.65,0.82,125.27,-3.66,10.17,-0.03,-0.62,0.71
6164,121.90,10.79,12.16,0.09,-0.69,0.86,121.02,-3.20,11.16,-0.02,-0.62,0.74
6173,116.03,10.37,12.98,0.10,-0.64,0.85,111.83,-2.65,11.53,0.01,-0.60,0.75
6182,105.90,9.44,13.19,0.11,-0.66,0.87,101.99,-1.98,11.59,0.00,-0.60,0.75
6192,93.87,8.72,13.33,0.11,-0.65,0.86,92.55,-1.96,11.95,-0.01,-0.60,0.78
6200,88.34,8.32,13.73,0.11,-0.66,0.90,88.44,-2.24,12.28,-0.00,-0.58,0.79
6209,88.42,7.00,13.81,0.09,-0.63,0.93,90.24,-2.83,12.40,-0.01,-0.54,0.74
6218,89.32,6.31,13.15,0.09,-0.62,0.90,88.23,-4.13,11.80,-0.01,-0.51,0.74
6227,84.34,5.39,13.05,0.08,-0.57,0.86,82.53,-3.67,11.43,-0.03,-0.52,0.75
6236,77.81,4.86,13.00,0.06,-0.57,0.90,75.72,-2.54,11.63,-0.03,-0.50,0.79
6245,71.54,5.76,12.89,0.07,-0.58,0.93,69.70,-1.98,11.34,-0.04,-0.50,0.82
6254,67.78,5.23,12.64,0.06,-0.60,0.92,68.04,-1.62,11.40,-0.05,-0.51,0.79
6262,65.22,5.50,12.41,0.05,-0.55,0.93,65.29,-0.86,11.40,-0.04,-0.49,0.83
6272,63.14,6.91,12.79,0.06,-0.57,0.95,64.53,0.64,11.47,-0.05,-0.50,0.85
6281,64.47,8.02,12.97,0.05,-0.59,0.97,67.87,1.82,11.27,-0.04,-0.49,0.86
6289,68.29,9.24,13.10,0.05,-0.58,1.01,71.31,2.15,11.76,-0.05,-0.48,0.85
6298,72.18,9.48,13.22,0.04,-0.57,1.00,75.36,1.47,11.48,-0.05,-0.48,0.83
6307,73.98,9.27,12.62,0.05,-0.57,0.98,73.15,1.60,10.51,-0.05,-0.44,0.81
6317,68.33,8.94,11.89,0.05,-0.52,0.97,65.66,1.25,9.27,-0.04,-0.40,0.82
6325,61.56,7.74,10.20,0.05,-0.49,0.96,62.58,0.95,8.27,-0.03,-0.40,0.78
6334,62.53,6.99,9.79,0.06,-0.50,0.99,65.44,0.06,8.07,-0.01,-0.39,0.82
6342,67.32,6.92,9.37,0.08,-0.50,1.03,73.15,-1.20,7.90,-0.02,-0.41,0.86
6351,76.89,7.01,9.69,0.07,-0.52,1.08,84.10,-2.53,8.99,-0.03,-0.44,0.89
6361,90.85,6.92,10.62,0.04,-0.54,1.08,97.95,-2.63,9.82,-0.02,-0.42,0.89
6369,101.72,9.84,11.97,0.06,-0.49,1.03,106.99,-1.77,10.40,-0.05,-0.40,0.88
6378,104.69,10.56,11.82,0.03,-0.48,1.00,103.11,-0.65,10.21,-0.05,-0.38,0.88
6387,99.92,10.82,11.93,0.04,-0.43,0.96,99.19,0.43,10.79,-0.03,-0.36,0.85
6396,95.79,11.29,12.70,0.06,-0.39,0.99,97.52,0.47,11.24,-0.01,-0.34,0.86
6405,96.18,10.66,13.52,0.05,-0.37,1.00,98.87,0.03,12.49,-0.01,-0.34,0.82
6414,100.45,10.22,14.67,0.06,-0.37,1.03,107.04,-0.60,13.35,-0.01,-0.34,0.80
6423,109.15,10.91,15.63,0.08,-0.36,1.07,115.41,-2.21,14.69,0.01,-0.33,0.86
6432,120.67,9.89,16.78,0.05,-0.39,1.07,127.37,-3.15,15.78,-0.00,-0.28,0.85
6441,127.10,10.94,18.16,0.08,-0.35,1.06,129.66,-2.70,16.79,-0.00,-0.27,0.86
6450,125.75,12.34,18.76,0.07,-0.32,0.97,123.02,-0.75,16.73,-0.01,-0.22,0.84
6459,113.63,10.85,17.54,0.01,-0.29,0.97,105.89,0.37,14.91,-0.05,-0.15,0.85
6468,94.99,10.89,15.50,0.01,-0.21,0.98,85.15,1.04,12.53,-0.06,-0.12,0.89
6477,74.69,8.76,13.28,-0.00,-0.22,1.04,69.34,0.82,10.15,-0.06,-0.12,0.90
6486,63.61,8.17,10.85,0.02,-0.25,1.05,62.53,0.43,8.50,-0.05,-0.13,0.89
6495,61.18,6.82,8.89,0.01,-0.29,1.09,64.76,-0.89,6.90,-0.06,-0.16,0.86
6504,68.54,5.68,8.58,0.00,-0.28,1.13,76.34,-3.02,6.84,-0.05,-0.15,0.89
6512,82.17,5.41,7.99,0.00,-0.27,1.16,88.87,-3.66,6.40,-0.05,-0.13,0.90
6521,92.44,7.11,7.89,0.02,-0.23,1.14,96.14,-3.63,6.63,-0.06,-0.12,0.91
6530,96.42,8.98,7.91,0.02,-0.21,1.05,95.06,-1.92,6.24,-0.05,-0.09,0.90
6539,88.17,9.05,7.26,0.02,-0.16,1.02,81.21,-0.51,5.03,-0.04,-0.03,0.90
6548,68.95,8.19,5.75,0.01,-0.11,1.07,59.72,0.04,3.81,-0.05,-0.02,0.95
6556,50.55,6.44,4.22,-0.01,-0.16,1.10,46.31,1.26,2.40,-0.06,-0.02,0.97
6565,43.12,6.60,3.62,-0.01,-0.14,1.16,46.43,1.23,2.18,-0.06,-0.06,0.95
6574,50.50,7.10,3.82,-0.01,-0.19,1.20,58.26,0.64,2.47,-0.06,-0.08,0.96
6583,66.68,8.06,4.61,-0.01,-0.19,1.22,77.79,-0.31,3.69,-0.07,-0.11,0.97
6592,86.57,8.99,6.34,-0.02,-0.17,1.22,97.56,-1.40,5.43,-0.06,-0.10,0.96
6600,104.60,10.50,7.80,0.00,-0.16,1.17,113.67,-0.95,6.60,-0.03,-0.05,0.92
6609,116.73,12.53,9.10,-0.01,-0.13,1.09,121.05,-0.28,7.37,-0.04,-0.01,0.90
6619,118.08,13.05,9.13,-0.01,-0.10,1.12,115.97,-0.21,7.38,-0.03,0.06,0.90
6627,106.10,12.43,8.63,0.02,-0.01,1.12,100.75,-0.18,6.82,-0.03,0.10,0.88
6636,91.97,10.34,7.34,0.01,-0.03,1.06,86.06,-0.03,4.95,-0.05,0.11,0.90
6645,78.18,9.81,6.60,-0.01,0.01,1.11,75.99,-0.67,4.60,-0.05,0.09,0.91
6653,71.33,7.96,6.11,-0.01,0.01,1.11,72.91,-1.38,4.27,-0.05,0.10,0.91
6663,74.05,7.10,6.17,-0.03,0.00,1.16,78.65,-1.86,4.82,-0.07,0.10,0.90
6671,81.16,8.44,6.36,-0.00,0.01,1.15,86.31,-1.67,5.57,-0.04,0.08,0.89
6680,87.13,8.44,6.96,-0.02,0.03,1.10,88.31,-1.47,5.69,-0.02,0.13,0.89
6689,85.60,8.50,7.66,-0.01,0.09,1.10,84.38,-1.59,6.27,-0.03,0.14,0.87
6697,78.13,8.24,7.29,0.00,0.09,1.01,77.60,-0.09,5.52,-0.02,0.13,0.85
6707,73.44,8.66,7.50,-0.00,0.13,1.02,73.65,0.08,5.66,-0.04,0.19,0.84
6715,68.85,8.83,6.74,-0.01,0.11,1.04,65.87,0.69,5.18,-0.05,0.17,0.83
6724,59.52,7.12,6.34,-0.01,0.09,1.05,53.27,0.24,4.40,-0.05,0.22,0.86
6733,44.43,5.47,4.77,-0.00,0.09,1.05,37.59,0.20,2.82,-0.04,0.24,0.86
6742,31.77,3.59,3.39,-0.02,0.13,1.06,29.40,-0.60,1.57,-0.06,0.23,0.88
6751,26.45,3.35,2.27,-0.03,0.11,1.12,26.84,-0.42,1.00,-0.05,0.22,0.86
6759,26.05,2.95,1.94,-0.03,0.12,1.11,26.13,-0.69,0.53,-0.05,0.24,0.87
6768,23.20,2.48,1.32,-0.04,0.13,1.12,20.31,-0.85,0.44,-0.04,0.24,0.88
6776,15.70,1.50,1.08,-0.03,0.17,1.09,11.77,-0.78,-0.07,-0.03,0.26,0.90
6786,7.37,0.80,0.40,-0.01,0.14,1.09,4.48,-0.16,-0.61,-0.02,0.24,0.87
6794,1.50,0.98,0.25,-0.00,0.14,1.08,-1.21,0.67,-0.71,-0.02,0.23,0.88
6803,-5.07,0.71,0.24,-0.00,0.14,1.08,-8.40,1.52,-0.89,-0.01,0.23,0.89
6811,-12.61,0.73,-0.23,-0.00,0.14,1.08,-16.25,1.95,-1.37,-0.03,0.25,0.89
6820,-19.68,0.08,-1.08,-0.01,0.13,1.10,-20.95,2.00,-2.14,-0.03,0.21,0.89
6830,-20.63,-0.21,-1.13,-0.02,0.11,1.13,-17.45,1.97,-1.91,-0.04,0.19,0.88
6838,-12.90,0.62,-0.73,-0.02,0.09,1.15,-7.92,1.62,-1.25,-0.05,0.17,0.89
6847,-3.30,1.56,0.13,-0.03,0.07,1.17,1.08,0.95,-0.85,-0.04,0.18,0.90
6855,5.44,1.24,0.20,-0.04,0.09,1.17,10.08,0.37,-0.30,-0.04,0.19,0.89
6864,12.52,1.91,0.90,-0.02,0.10,1.15,14.37,-0.41,-0.03,-0.04,0.19,0.89
6873,13.35,2.21,1.10,-0.01,0.10,1.11,10.94,-0.27,0.23,-0.03,0.21,0.92
6882,9.03,1.13,1.01,-0.00,0.12,1.11,7.74,-0.23,0.04,-0.02,0.21,0.88
6890,6.37,0.63,1.10,0.00,0.11,1.12,6.49,-0.79,0.11,-0.03,0.19,0.88
6899,6.50,0.40,1.38,-0.01,0.10,1.11,6.98,-0.95,0.76,-0.03,0.20,0.89
6907,7.05,0.52,1.75,-0.02,0.12,1.10,8.23,-0.25,0.73,-0.05,0.21,0.90
6917,8.71,1.20,1.56,-0.03,0.13,1.14,8.95,-0.04,0.75,-0.06,0.22,0.89
6925,7.89,0.87,1.48,-0.03,0.12,1.12,6.71,-0.37,0.69,-0.05,0.21,0.89
6934,4.27,0.65,1.42,-0.03,0.12,1.10,1.98,-0.06,0.27,-0.06,0.23,0.87
6942,-0.79,0.28,0.98,-0.03,0.14,1.08,-3.55,0.10,0.06,-0.04,0.24,0.86
6951,-7.36,-0.42,0.33,-0.02,0.16,1.08,-10.89,0.13,-0.81,-0.05,0.25,0.87
6960,-14.31,-1.03,-0.37,-0.04,0.14,1.08,-17.21,0.08,-1.63,-0.05,0.25,0.87
6969,-19.98,-1.84,-1.24,-0.03,0.14,1.08,-21.78,-0.08,-2.08,-0.05,0.24,0.87
6977,-22.05,-2.49,-1.70,-0.04,0.12,1.10,-21.15,-0.40,-2.30,-0.05,0.22,0.88
6986,-18.56,-1.82,-2.02,-0.03,0.10,1.12,-15.56,-0.30,-2.80,-0.05,0.21,0.87
6995,-12.47,-0.79,-1.85,-0.04,0.11,1.12,-9.79,0.06,-2.81,-0.05,0.21,0.88
7004,-7.83,0.21,-1.91,-0.03,0.10,1.11,-6.67,0.45,-3.00,-0.06,0.23,0.88
7013,-7.12,0.68,-2.45,-0.02,0.13,1.09,-9.69,0.98,-3.29,-0.06,0.22,0.89
7021,-12.50,0.82,-2.48,-0.04,0.12,1.08,-13.74,1.79,-3.43,-0.07,0.19,0.87
7030,-15.73,1.08,-2.03,-0.05,0.09,1.06,-17.67,3.41,-2.31,-0.07,0.15,0.90
7038,-19.38,1.72,-0.87,-0.05,0.10,1.09,-19.73,3.95,-2.46,-0.08,0.22,0.91
7048,-20.52,2.27,-1.47,-0.04,0.11,1.12,-20.07,4.21,-3.06,-0.05,0.25,0.88
7057,-20.62,2.77,-2.01,-0.03,0.12,1.10,-19.63,4.72,-3.34,-0.04,0.23,0.87
7065,-20.37,3.44,-2.52,-0.02,0.10,1.08,-19.53,4.92,-3.95,-0.04,0.19,0.87
7074,-19.58,3.41,-2.66,-0.03,0.08,1.11,-17.24,4.38,-4.00,-0.05,0.18,0.86
7083,-16.10,3.00,-2.56,-0.04,0.08,1.11,-14.10,3.92,-4.00,-0.06,0.18,0.87
7092,-10.92,3.12,-2.91,-0.06,0.07,1.11,-7.94,3.24,-4.40,-0.06,0.19,0.86
7101,-7.58,3.48,-3.24,-0.03,0.08,1.08,-7.03,3.20,-4.61,-0.06,0.19,0.85
7109,-8.37,3.03,-3.56,-0.03,0.09,1.07,-9.46,3.02,-4.51,-0.06,0.18,0.86
7118,-11.59,2.49,-3.53,-0.04,0.09,1.06,-12.85,3.37,-4.54,-0.05,0.18,0.86
7127,-15.05,2.69,-3.51,-0.03,0.11,1.05,-16.13,4.18,-4.73,-0.05,0.19,0.87
7136,-18.53,2.51,-3.93,-0.04,0.09,1.08,-20.50,3.99,-5.35,-0.06,0.18,0.87
7144,-22.60,2.11,-4.21,-0.04,0.08,1.09,-22.46,4.16,-5.24,-0.07,0.16,0.87
7153,-22.88,2.31,-3.96,-0.05,0.07,1.11,-21.76,4.23,-5.03,-0.08,0.15,0.89
7162,-21.72,2.53,-3.80,-0.06,0.06,1.11,-20.55,4.51,-4.69,-0.09,0.14,0.89
7171,-19.97,2.70,-3.42,-0.06,0.05,1.11,-18.85,4.34,-4.60,-0.07,0.15,0.89
7180,-19.08,2.83,-3.03,-0.05,0.05,1.13,-18.46,4.15,-4.38,-0.08,0.14,0.89
7189,-17.97,2.23,-3.31,-0.04,0.04,1.14,-16.56,3.38,-3.95,-0.06,0.13,0.88
7197,-15.21,2.12,-2.70,-0.04,0.03,1.14,-13.29,2.90,-3.14,-0.06,0.13,0.91
7206,-11.37,2.23,-1.85,-0.04,0.03,1.15,-8.34,2.50,-3.04,-0.06,0.13,0.91
7215,-5.73,2.58,-1.62,-0.04,0.04,1.14,-2.33,2.44,-2.54,-0.06,0.13,0.90
7224,0.38,2.88,-1.29,-0.03,0.03,1.13,3.03,2.25,-2.51,-0.05,0.14,0.90
7232,3.68,3.18,-0.88,-0.03,0.06,1.14,4.48,2.06,-1.92,-0.05,0.15,0.94
7241,4.44,3.50,-0.47,-0.03,0.06,1.15,5.69,2.19,-1.56,-0.04,0.15,0.93
7249,6.02,3.61,0.03,-0.02,0.06,1.14,7.07,2.57,-0.79,-0.04,0.14,0.93
7259,7.08,3.92,0.52,-0.02,0.07,1.12,7.34,3.01,-0.36,-0.05,0.14,0.92
7267,6.35,4.11,1.35,-0.02,0.06,1.13,6.26,3.35,0.34,-0.06,0.15,0.91
7276,4.92,4.40,1.52,-0.04,0.06,1.11,4.76,3.23,0.47,-0.06,0.16,0.89
7284,3.84,3.59,1.67,-0.05,0.07,1.13,4.07,2.73,0.33,-0.06,0.17,0.89
7293,3.52,3.31,1.52,-0.04,0.07,1.12,3.83,2.28,0.44,-0.06,0.17,0.89
7302,2.89,2.76,1.61,-0.03,0.07,1.12,3.42,1.98,0.63,-0.05,0.16,0.89
7311,2.79,2.43,1.74,-0.04,0.06,1.13,3.21,1.15,0.79,-0.06,0.16,0.87
7319,3.05,1.52,1.97,-0.04,0.07,1.12,4.41,0.69,1.07,-0.05,0.16,0.87
7328,4.81,1.23,2.14,-0.03,0.07,1.12,5.09,0.40,1.26,-0.05,0.16,0.88
7336,4.69,1.20,2.31,-0.03,0.08,1.10,4.76,0.12,1.34,-0.06,0.17,0.87
7346,3.99,1.05,2.30,-0.04,0.07,1.10,3.99,0.59,1.28,-0.06,0.17,0.89
7354,2.93,1.08,2.12,-0.05,0.07,1.09,2.32,0.70,1.20,-0.07,0.18,0.89
7363,1.02,1.17,2.39,-0.05,0.07,1.10,0.63,1.06,0.86,-0.07,0.17,0.88
7371,-0.49,1.60,2.03,-0.05,0.07,1.10,-0.56,1.61,0.95,-0.07,0.18,0.88
7380,-1.22,1.75,1.94,-0.05,0.07,1.10,-0.96,1.73,0.97,-0.07,0.17,0.88
7389,-1.38,2.08,2.05,-0.06,0.07,1.09,-0.69,1.93,0.67,-0.08,0.16,0.87
7397,-0.70,1.95,1.88,-0.05,0.06,1.10,0.19,1.41,0.26,-0.07,0.17,0.86
7406,-0.42,1.76,1.39,-0.04,0.06,1.10,-0.76,0.86,0.05,-0.06,0.17,0.86
7414,-2.70,0.77,0.83,-0.04,0.06,1.09,-4.27,0.42,-0.37,-0.06,0.16,0.86
7424,-5.78,-0.15,0.08,-0.04,0.06,1.10,-6.50,-0.50,-0.83,-0.08,0.17,0.86
7432,-7.02,-1.03,-0.44,-0.05,0.07,1.11,-6.98,-1.02,-1.01,-0.08,0.16,0.87
7441,-6.47,-1.24,-0.39,-0.06,0.05,1.12,-5.57,-1.03,-1.24,-0.08,0.16,0.87
7449,-4.25,-1.53,-0.73,-0.07,0.06,1.12,-2.82,-1.82,-1.53,-0.10,0.17,0.88
7458,-0.78,-1.34,-0.89,-0.07,0.05,1.12,0.71,-2.08,-1.80,-0.09,0.16,0.88
7467,2.35,-1.33,-0.98,-0.07,0.06,1.11,2.99,-1.99,-1.54,-0.09,0.16,0.87
7476,3.37,-0.89,-0.67,-0.06,0.07,1.10,3.05,-1.76,-1.58,-0.07,0.18,0.87
7484,2.06,-0.78,-0.88,-0.04,0.09,1.08,1.06,-1.24,-1.27,-0.05,0.17,0.87
7493,-0.05,-0.67,-0.36,-0.02,0.09,1.08,-0.93,-0.42,-0.89,-0.05,0.16,0.87
7501,-2.25,-0.24,0.15,-0.03,0.09,1.07,-3.45,-0.14,-0.61,-0.05,0.18,0.88
7511,-5.25,-0.13,0.23,-0.03,0.09,1.09,-6.73,0.02,-0.72,-0.06,0.17,0.89
7519,-7.92,-0.56,0.45,-0.05,0.07,1.11,-8.37,0.22,-0.66,-0.07,0.16,0.90
7528,-9.50,-0.47,0.26,-0.06,0.07,1.11,-9.94,0.31,-0.55,-0.08,0.16,0.91
7536,-10.71,-0.36,0.26,-0.06,0.06,1.12,-10.53,0.59,-0.85,-0.09,0.16,0.93
7545,-10.56,-0.05,-0.21,-0.06,0.05,1.14,-9.67,0.85,-1.05,-0.08,0.15,0.94
7555,-8.45,0.82,-0.03,-0.06,0.04,1.14,-6.52,1.24,-0.90,-0.08,0.14,0.93
7563,-4.83,1.34,0.17,-0.05,0.03,1.15,-3.09,1.16,-0.65,-0.08,0.14,0.91
7572,-2.91,1.15,0.33,-0.05,0.04,1.15,-1.74,1.02,-0.56,-0.08,0.14,0.93
7580,-0.47,1.24,0.48,-0.07,0.04,1.16,2.20,0.63,-0.20,-0.09,0.15,0.91
7588,4.59,1.25,0.51,-0.06,0.04,1.16,6.76,0.08,-0.09,-0.08,0.15,0.92
7598,7.43,1.62,0.80,-0.05,0.06,1.14,8.44,0.14,0.05,-0.07,0.15,0.92
7606,8.47,1.51,1.21,-0.03,0.06,1.14,8.53,0.16,0.52,-0.05,0.16,0.90
7615,7.49,1.56,1.67,-0.03,0.07,1.12,6.18,0.08,0.32,-0.05,0.16,0.89
7623,3.66,0.62,1.39,-0.02,0.07,1.11,1.56,-0.18,0.40,-0.04,0.17,0.90
7632,-1.20,0.05,1.34,-0.01,0.09,1.12,-3.40,-0.31,0.48,-0.04,0.17,0.91
7641,-5.06,-0.21,1.47,-0.02,0.07,1.12,-5.29,0.07,0.80,-0.05,0.16,0.89
7650,-5.68,-0.03,1.69,-0.03,0.07,1.11,-5.47,0.06,0.77,-0.06,0.16,0.89
7658,-5.44,-0.02,1.61,-0.04,0.06,1.11,-5.49,0.29,0.79,-0.05,0.16,0.89
7667,-6.02,0.21,1.69,-0.04,0.07,1.10,-6.78,0.40,1.19,-0.06,0.15,0.89
7675,-7.93,-0.34,1.97,-0.04,0.06,1.11,-8.41,0.41,1.82,-0.06,0.14,0.88
7685,-7.46,-0.73,3.34,-0.03,0.02,1.10,-5.00,0.30,2.89,-0.05,0.10,0.89
7693,-2.89,-0.27,4.44,-0.03,0.05,1.13,-0.26,-0.21,3.53,-0.05,0.15,0.88
7702,1.89,-0.44,4.42,-0.03,0.05,1.13,3.85,-1.12,3.51,-0.06,0.16,0.86
7710,4.69,-0.62,4.11,-0.04,0.06,1.10,5.33,-1.99,3.09,-0.07,0.18,0.85
7719,4.76,-1.77,3.30,-0.05,0.07,1.09,3.93,-2.68,2.69,-0.08,0.18,0.85
7728,3.04,-2.53,2.94,-0.06,0.07,1.09,1.72,-3.51,2.25,-0.08,0.17,0.85
7737,0.51,-3.70,2.19,-0.06,0.08,1.11,-1.66,-4.18,1.38,-0.08,0.20,0.89
7745,-3.55,-4.80,1.37,-0.04,0.08,1.12,-5.44,-4.57,0.85,-0.05,0.18,0.89
7754,-5.60,-4.86,1.63,-0.03,0.09,1.14,-5.51,-4.88,1.42,-0.04,0.16,0.90
7762,-3.80,-5.00,1.81,-0.02,0.07,1.14,-3.28,-4.96,1.65,-0.05,0.16,0.90
7772,-2.40,-4.95,1.88,-0.03,0.07,1.14,-2.60,-5.08,1.84,-0.05,0.16,0.90
7780,-1.92,-4.79,2.14,-0.03,0.06,1.13,-2.32,-4.82,2.14,-0.05,0.16,0.89
7789,-2.15,-5.13,2.24,-0.04,0.07,1.12,-3.02,-4.99,2.21,-0.07,0.16,0.88
7797,-2.99,-5.05,2.24,-0.05,0.06,1.09,-3.44,-5.18,2.00,-0.07,0.17,0.89
7806,-3.21,-5.14,2.04,-0.05,0.07,1.10,-4.01,-4.83,1.69,-0.07,0.17,0.88
7815,-3.91,-4.63,1.79,-0.05,0.07,1.09,-4.56,-4.50,1.13,-0.07,0.19,0.89
7824,-4.56,-4.36,1.27,-0.05,0.07,1.10,-5.30,-3.99,0.56,-0.08,0.16,0.89
7832,-5.71,-4.00,1.07,-0.06,0.06,1.10,-6.07,-3.26,0.44,-0.08,0.16,0.90
7841,-5.85,-3.15,0.90,-0.06,0.05,1.10,-5.48,-2.43,0.24,-0.09,0.16,0.92
7849,-4.63,-2.01,0.90,-0.05,0.05,1.11,-3.91,-1.54,0.44,-0.07,0.15,0.92
7859,-2.92,-1.08,1.53,-0.04,0.05,1.11,-2.02,-0.92,0.59,-0.06,0.15,0.90
7867,-1.22,-0.09,1.82,-0.04,0.06,1.10,-0.63,0.02,0.88,-0.06,0.15,0.90
7876,-0.49,0.92,1.84,-0.04,0.06,1.09,-0.68,0.57,1.02,-0.06,0.16,0.89
7884,-1.44,1.08,2.03,-0.04,0.06,1.09,-2.31,0.85,0.76,-0.06,0.16,0.88
7894,-3.76,0.79,1.51,-0.05,0.07,1.09,-4.40,1.09,0.63,-0.08,0.16,0.87
7902,-4.81,0.41,1.15,-0.05,0.06,1.10,-4.34,0.51,0.14,-0.10,0.16,0.88
7911,-3.95,0.12,0.86,-0.07,0.05,1.10,-3.22,0.07,0.02,-0.09,0.16,0.87
7919,-2.76,-0.11,0.54,-0.06,0.05,1.10,-2.19,-0.42,-0.43,-0.07,0.16,0.88
